0xE31FEB46, clientids_shared
0x45490BB0, godmode
0xFB12546B, unlimitedammo
0x76CF49F2, bo4_givegun
0xF5718D68, clone
0x80273A9F, restartmap
0x7680C97, stringslidertest
0xA137E8FA, intslidertest
0x2B133F2D, playergivescore
0x32992239, playertakescore
0xFACDA657, maxammo
0x931B82D8, firesale
0x7739D82A, bonuspoints
0xD534B32D, freeperk
0x4C0B981A, nuke
0xE70B4B5E, heroweapon
0x5724BBFE, instakill
0xBC74AAB9, doublepoints
0xA6D44F5F, carpenter
0x32B4992A, achievements
0x6533AB74, completeactivecontracts
0x96E7B2AD, thirdperson
0x79865019, unlimitedsprint
0xA678AACB, notarget
0xE97D64F5, promod
0xCC228CB8, giveweapon
0xFD896A0A, upgradeweapon
0x6802828A, starttelegun
0xB06FCAB, teleporttocrosshair
0xCC451473, vector_scal
0xDF7F2524, hidegun
0x7CE72E88, bo4_giveperk
0xFBA2D3AB, killallzombies
0x3751C037, teleportzombies
0xEF6FDE7, startzombieposistion
0x2587BCC8, setzombieposition
0xB6CF9FC3, boxprice
0xD4A3A745, antiquit
0xE4BCA7ED, dropweapon
0x21DA2E39, takeweapons
0xD153EDCF, takecurrentweapon
0x14A5EBEA, bo4level55
0x6D55D832, plasmaloopplayer
0x5F719F88, bo4_maxlevels
0x125BA005, bo4_unlockall
0x7F72A9F0, bo4_toggleaimbot
0x7CD742AF, bo4_aimbot
0x6E5E0361, showallboxes
0xCC780E12, modelspawntest
0x66A1C439, lunawolf
0xCC70A252, round999
0xE534526F, stats_totalplayed
0x7EB42A63, stats_highestreached
0x796A24A1, stats_mostkills
0x229EE25A, stats_mostheadshots
0x94F3643C, stats_round
0xC4B2B03F, bo4_addbotstogame
0xD299199E, bo4_openthedoors
0x2B2D9B41, bo4_camogiver
0xE68198A9, bo4papunlock
0x8C67B930, pspeed
0x4C3D7031, giveallperks
0x3799D5F3, selfinstakill
0x3980C36E, savelocation
0xA0067321, tptochest
0x995A33DD, bo4freezebox
0xB896CA3C, multijump
0xBAC7C504, superjump
0xDF2FE236, allsuperjump
0x94552BF0, superspeed
0x9A82A75F, bo4nofalldam
0xC75A6C18, antijoin
0x19E1ECBF, b4gravity
0x7DD61763, bo4rev
0x607FEE8, __init__sytem__
0xAD5512EB, __init__
0x9284135D, init
0x64495C7, onplayerspawned
0xFF744AA4, initializevarsprecaches
0xFE82A6A3, playersetup
0xC41A2BD6, definevariables
0x79E76B77, runmenuindex
0x29DCBF65, menuoptionsplayer
0xA799E2BF, menumonitor
0x7F84C482, executefunction
0xA07F1FE6, drawtext
0x80D06FE2, refreshmenu
0xB75B4DEF, openmenu1
0x293FF04B, monitormenurefresh
0xE4F0A516, closemenu1
0x23AB70D1, destroyopts
0x6BC17C0, addmenu
0x34AC3143, addopt
0xDDD38791, addoptbool
0x36F1C5CA, addoptincslider
0xCC842204, addoptslider
0xE6756E11, newmenu
0x2CBD7F70, getname
0x717C7276, isinmenu
0x18F58E41, isinarray
0x1AFD2999, arrayremove
0x299FBB36, getcurrent
0xF67BF877, getcursor
0x7BF8F6D4, setcursor
0x89098611, setslider
0xD2679ABC, setincslider
0x875F164A, backmenu
0x33423BED, playerexitlevel
0x73EF152F, setverification
0x54F10114, setverificationallplayers
0x4A91E9AA, getverification
0xC9566E3D, hasmenu
0x74408125, player
0x99E49F55, isdefined
0x3641C11C, undefined
0x8302B711, true
0x53E0F7A2, enableinvulnerability
0x9DE6AA7C, compiler
0xC4C47E56, disableinvulnerability
0x3C60C590, givemaxammo
0x9362DFB2, getcurrentweapon
0x43DA1FEA, setweaponammoclip
0x98D06C26, clipsize
0xF2C99E09, weapon
0x60F89DE7, switchtoweapon
0xD85855D8, spawn_player_clone
0xF1CA5EF1, self
0x6BBA65DA, util
0xBB1A4DBE, map_restart
0x64D4CA9D, string
0x61F222E, iprintlnbold
0x4A4C1D5B, int
0x32AB1CAA, value
0xB172DFF4, add_to_player_score
0x2B741F8, zm_score
0x3802F94D, minus_to_player_score
0x78A265B, specific_powerup_drop
0x4975DD0E, origin
0x4BA91026, zm_powerups
0xA0093740, 24da51bf-dd80-4167-8e35-3a468b0d6c8c
0x60A4D1EE, 1ffbbaaf-7c69-4281-8dc8-89b734c48685
0xE264318D, 02c33534-fc0f-4595-b041-3a355bd14245
0x96079FAE, 14765029-2c88-4659-a69c-88ce2a3f16ef
0xBD88798, achev
0xF3A60907, gillam_achi
0x9096AE65, array
0x3CEF645C, giveachievement
0xC9822A76, c982b473-6fb8-4fa5-ace9-3c5acfe70ccf
0x9596E920, d496584f-cdf7-4639-9e77-c38b1bd68fed
0xD03D8F88, c5c4ac7d-8be7-495e-9ca0-ec1265e4d6b5
0xEA3C438C, 124a4e1a-e7f6-4623-abcd-a7e92997cfd0
0x3E6C9E38, index
0x28136CFA, contract
0xFF2DDC28, contractvalue
0xA5008B01, pers
0xF9747C3C, target_value
0x68D294C9, current_value
0x219B25FB, setclientthirdperson
0xA775FF94, setperk
0xC72DEA74, unsetperk
0x71574FBB, notarg
0xBAB9C971, ignoreme
0x6B66F156, setdvar
0xBF7AEA06, getweapon
0xF8F78A5F, takeweapon
0xF5B3C2D2, get_upgrade_weapon
0x3CAACE59, weapon_supports_aat
0x18D600C7, zm_weapons
0x16B44C78, telegun
0xF5B5552C, notify
0x9B42093D, endon
0x9C7DB714, waittill
0x6342665C, setorigin
0x10FBBD86, bullettrace
0x8BA04402, gettagorigin
0x95B18032, anglestoforward
0xED2C8382, getplayerangles
0xF90C42FA, vec
0x75D24867, scale
0x4251C9C6, hideweapon
0xCAAE52CC, perk_name
0x89C39B06, vending_trigger_post_think
0xE466115, zm_perks
0x1030C367, 7053c60f-5562-47eb-a736-960c6e726136
0xF5371DC4, 5ce0cf84-1ba6-492a-b73a-1e339078af17
0x1144DB0F, 6186b07f-7495-4dcd-839b-12db13a80bd9
0xEE31B218, e5c6cc40-1139-4a2f-8f9d-8f2c99dfbc1d
0x3B9F14F8, zombie
0x481B983D, getaiteamarray
0x9C3BDFFA, level
0x263C04C7, zombie_team
0x612E4664, dodamage
0x36DF771A, maxhealth
0x27EA3F4D, d835e613-d0eb-4982-8e76-574c1a8f567c
0x95C99138, 7d99cd67-f5d6-486e-a131-aaf353b1a5aa
0x2407D8A6, 4603d9a5-bf6e-435b-a67e-51fdc00f3e09
0xFA5C61AE, 77fdb7f9-e1ae-4ac9-b003-494cd16836e9
0xBA4A38B3, forceteleport
0x9C708156, zombiepos
0x67FF9DB3, 2e58cff3-1610-4c57-81a9-e98216d15c21
0x3C282CF7, 2c3eefda-ea93-4d6c-8a9a-697dbc263293
0x67E1480F, 0417c849-487b-4c42-8064-ae466c4a716c
0xF7D799BD, 6288ca5c-b75e-4cf1-8398-0a8acebd8291
0xF189D938, zombo
0xDFC56597, e6c873e3-9a21-4509-b1bf-50753436c72c
0xF0E9FC4C, ebb8f04a-9cfc-4c84-8e66-20e055f31361
0xF4D3FF50, 4be58dbd-c0b6-458b-b35f-ce0cee31f4ad
0x5EC983BD, 7ba27318-3711-42d3-980f-df852a692ea9
0x7E659BD, chest
0x3F5EEA7D, chests
0x91C7EFCA, zombie_cost
0x939BDB2B, 97ac2490-79ba-477d-800a-47c9bca6aa80
0xE6478500, 720dcec5-e5a3-47ae-a163-91b83028b83e
0x66970C8D, c27ec3f2-d456-4109-9234-cba15e3e2a89
0xC6AA3CC1, c93bd530-5877-468a-9333-f39948615c6d
0xB7B93C91, setmatchflag
0x5273B572, players
0x1B1E9A69, closeingamemenu
0xCCA87AA9, current_weapon
0x84E83223, dropitem
0xA4511C21, takeallweapons
0x42CD9823, addrankxp
0x5EEEA006, updaterank
0x3ABD002B, rank
0x86BCACFC, uploadstats
0x812B705C, plasmaloop
0x7C5872B1, 0ebd97f6-0645-42b7-92de-7788145ac590
0x5614CD1C, 11ad4005-43b1-4d7b-87af-18419e688ad8
0xD79C38C1, f5c00dde-187d-4677-983e-12ddc4b939a5
0x7AA019FF, cfe126e0-e19d-417a-9363-a6a8543f8e4d
0xFDF45042, attachment
0x45FDE35D, attachments
0x99A22936, 209ae3bc-90ef-44e5-a56f-087952e5a688
0x3E834263, 689d928d-b60f-4fa0-be92-450ee42afb0e
0xB4F868C3, 69c169fb-9b72-4390-ab3f-bb90896426c3
0x87ABA795, b59c2af8-1e54-407e-8095-4b01abf57d9a
0x5AA00A7C, gun
0x64AE4F77, zombie_weapons
0xF636F281, set_stat
0xC571857E, name
